lemma,decade,freq,words_m,per_mil
ho,1850,315,16.5,19.09
ho,1860,365,16.9,21.6
ho,1870,718,18.8,38.19
ho,1880,566,20.1,28.16
ho,1890,431,20.4,21.13
ho,1900,265,22.0,12.05
ho,1910,378,23.1,16.36
ho,1920,550,25.7,21.4
ho,1930,479,27.7,17.29
ho,1940,391,27.4,14.27
ho,1950,333,28.7,11.6
ho,1960,408,29.1,14.02
ho,1970,354,28.8,12.29
ho,1980,494,29.9,16.52
ho,1990,319,33.1,9.64
ho,2000,385,34.8,11.06
ho,2010,356,35.5,10.03
