LINE	YEAR	GENRE	SOURCE	CONTEXT
24	1833	NF/ACAD	ReportTrialJames	Judge never did assume that the regulations of O'Reilly had any bearing on the spec fie grant to Antoine Soulard; and so far from saying that such a grant was
25	1834	FIC	GuyRiversATale	is there that she will not give you another uncle? " " Oh, fie, Ralph! " " Ay, she is too feeble of will, too
26	1834	FIC	CavaliersVirginia	if you had not announced your nomination for a secondary office. " " O fie, fie, Virginia, I did not think you could play the hypocrite so
27	1834	FIC	CavaliersVirginia	had not announced your nomination for a secondary office. " " O fie, fie, Virginia, I did not think you could play the hypocrite so well.
28	1835	FIC	HorseShoeRobinson	when he set out, but I was not in his way. " " Fie, girl, you almost speak crossly! Tyrrel, I must think, is
29	1835	FIC	HorseShoeRobinson	from your own observation, filled with the courtesy and grace of a gentleman. Fie, daughter! it is sinful to derogate from the character of an honorable man
30	1835	FIC	TeresaContarini	thine! Who was't I called father? Not one who caused all this! Fie! fie! do fathers Thus immolate their children? I have heard Of pyres
31	1835	FIC	TeresaContarini	Who was't I called father? Not one who caused all this! Fie! fie! do fathers Thus immolate their children? I have heard Of pyres and axes
32	1835	FIC	Pontiac	! why? Whose business' t is to die -- What! sighing? fie! Drown fear, drink on, be jolly, boys,' T is
33	1835	FIC	Orlando	, did e'er a brother love a sister thus? no! Ant. Antonio Fie, fie. Orl. Orlando I tell thee, friar, thou must wed
34	1835	FIC	Orlando	e'er a brother love a sister thus? no! Ant. Antonio Fie, fie. Orl. Orlando I tell thee, friar, thou must wed us.
35	1835	FIC	Orlando	Alecto's scourge Of snakes, I'd lash her roundly o'er the earth! Fie, fie upon myself! I'm ireful now. Down, anger, down
36	1835	FIC	Orlando	scourge Of snakes, I'd lash her roundly o'er the earth! Fie, fie upon myself! I'm ireful now. Down, anger, down. Sits
37	1835	FIC	Orlando	and steel to clinch each the other; I know it. Hel. Heline Fie, fie, how can you say so, Claude. Cla. Claude Marry
38	1835	FIC	Orlando	to clinch each the other; I know it. Hel. Heline Fie, fie, how can you say so, Claude. Cla. Claude Marry, I
39	1835	FIC	Orlando	on heaven -- And echo to the horizon mock'd me! Sel. Selim Fie, fie, good lady, fie! compose yourself. What use of this
40	1835	FIC	Orlando	-- And echo to the horizon mock'd me! Sel. Selim Fie, fie, good lady, fie! compose yourself. What use of this? there
41	1835	FIC	Orlando	horizon mock'd me! Sel. Selim Fie, fie, good lady, fie! compose yourself. What use of this? there's ne'er a likelihood That
42	1835	NF/ACAD	NarrativeVisit	Carmthers's than my esteemed friend, the Rev. J. Douglas, called on me. fie was pastor of the Presbyterian Church here, and had formed a fiittdship when he
43	1836	FIC	ThirtyYearsAgo	a second Mahomet overthrowing idolatry! The wooden god of the Yankee-doodles lies prostrate! Fie, George Frederick to triumph over a block. Farewell, poor Tom! poor
44	1836	FIC	WifeAtVenture	myself to your situation purely for your benefit -- and you to behave thus, fie, fie! Ibad. Ibad It was wrong, it was wrong. What
45	1836	FIC	WifeAtVenture	your situation purely for your benefit -- and you to behave thus, fie, fie! Ibad. Ibad It was wrong, it was wrong. What can I
46	1838	FIC	RobBowlALegend	matter of consideration in that -- if your Lordship will weigh it. " " Fie, Master Garret Weasel! Fie on thee! Thou art in thy cups.
47	1838	FIC	RobBowlALegend	if your Lordship will weigh it. " " Fie, Master Garret Weasel! Fie on thee! Thou art in thy cups. I grieve to see thee making
48	1838	FIC	RobBowlALegend	as you do, for a most shallow vessel, Captain Dauntrees? " " Fie on thee, dame! You disgrace your own flesh and blood by such speech
49	1838	FIC	RobBowlALegend	protection. " " Nay, Maria, you are too old to flatter. Fie! I have no advancement to offer thee. In truth thou art sovereign here
50	1838	NF/ACAD	AmericanInParis	you can't have need of any other kind of ea-bottomy. " " Oh fie, brother! -- I declare I like the Americans very much; they are
51	1839	FIC	DramasDiscourses	, turn not -- Shame! shame! outrage! Turn not, indignant -- Fie, my lord, O fie! (To Mountfort.) To mock your
52	1839	FIC	DramasDiscourses	shame! outrage! Turn not, indignant -- Fie, my lord, O fie! (To Mountfort.) To mock your own white head! Mount.
53	1839	FIC	GeraldineAthenia	, to beg for more contempt? This is to be a christian; -- fie, Abdallah! I thought you cherished more of manliness! Abd. Abdallah When
54	1839	FIC	DyingKeepHim	But a stone. TOMASO. TOMASO. A woman! ZIPPA. ZIPPA. Fie! what's this you're going to tell me? TOMASO. TOMASO.
1	1840	FIC	AirsPalestineOther	in error far, If I've not seen thee lighting a cigar; -- Fie! Fie! my friend, eschew the nauseous stuff! I hate thy smoking
2	1840	FIC	AirsPalestineOther	far, If I've not seen thee lighting a cigar; -- Fie! Fie! my friend, eschew the nauseous stuff! I hate thy smoking! I
3	1840	FIC	CountJulian	, -- Ada. But thou; thou thinkst' t is not enough. Fie on thee Cousin Rudolf; thou believ'st That I could plot against thy freedom?
